Time (s),Upstream (V),Downstream (V)
27.6,0.23554,0.14748
27.633,0.26483,0.16149
27.667,0.25973,0.15512
27.7,0.26101,0.15003
27.733,0.26228,0.14876
27.767,0.2661,0.1322
27.8,0.26355,0.14494
27.833,0.27883,0.14748
27.867,0.27628,0.13857
27.9,0.2852,0.1513
27.933,0.27628,0.14876
27.967,0.27628,0.14112
28,0.26992,0.16022
28.033,0.26864,0.15258
28.067,0.25719,0.16404
28.1,0.25719,0.15894
28.133,0.2661,0.15512
28.167,0.26228,0.14621
28.2,0.25846,0.14621
28.233,0.25464,0.1513
28.267,0.25464,0.14621
28.3,0.25209,0.15003
28.333,0.25209,0.15385
28.367,0.24445,0.13093
28.4,0.24955,0.1564
28.433,0.27374,0.1564
28.467,0.26355,0.15258
28.5,0.2661,0.14621
28.533,0.25591,0.15385
28.567,0.26101,0.15003
28.6,0.26101,0.14366
28.633,0.27628,0.15003
28.667,0.27501,0.14876
28.7,0.27756,0.15258
28.733,0.27628,0.15512
28.767,0.26864,0.15003
28.8,0.26992,0.13348
28.833,0.26483,0.1513
28.867,0.27374,0.13984
28.9,0.2661,0.15385
28.933,0.26737,0.14621
28.967,0.25337,0.1513
29,0.25973,0.14112
29.033,0.25846,0.14239
29.067,0.25846,0.14621
29.1,0.26228,0.14748
29.133,0.26355,0.14748
29.167,0.26992,0.14621
29.2,0.26737,0.1564
29.233,0.26228,0.15767
29.267,0.24827,0.15894
29.3,0.25591,0.15767
29.333,0.25846,0.15003
29.367,0.26355,0.14876
29.4,0.26737,0.14621
29.433,0.26355,0.15385
29.467,0.25209,0.15258
29.5,0.24573,0.1513
29.533,0.25337,0.1564
29.567,0.25464,0.15385
29.6,0.26355,0.15385
29.633,0.26737,0.15385
29.667,0.26355,0.14876
29.7,0.26228,0.14621
29.733,0.26737,0.15003
29.767,0.2661,0.16022
29.8,0.26864,0.15003
29.833,0.27501,0.10546
29.867,0.26864,0.15003
29.9,0.27374,0.14621
29.933,0.26992,0.15512
29.967,0.27628,0.15767
30,0.26737,0.15385
30.033,0.26992,0.14876
30.067,0.26101,0.15258
30.1,0.26483,0.13857
30.133,0.2661,0.16276
30.167,0.26992,0.15767
30.2,0.26864,0.1513
30.233,0.25719,0.15258
30.267,0.27628,0.14366
30.3,0.25591,0.1513
30.333,0.27119,0.15385
30.367,0.27756,0.14748
30.4,0.26992,0.14366
30.433,0.27119,0.1513
30.467,0.28392,0.14748
30.5,0.26864,0.14112
30.533,0.2801,0.14239
30.567,0.27246,0.13984
30.6,0.26228,0.15003
30.633,0.26483,0.1513
30.667,0.26101,0.14876
30.7,0.27756,0.13093
30.733,0.27374,0.14621
30.767,0.27246,0.13475
30.8,0.26355,0.14366
30.833,0.26355,0.1513
30.867,0.25719,0.15512
30.9,0.25337,0.14748
30.933,0.26483,0.14748
30.967,0.2661,0.15003
31,0.24827,0.15003
31.033,0.24573,0.14621
31.067,0.26101,0.14876
31.1,0.25719,0.14112
31.133,0.27374,0.1373
31.167,0.26992,0.14748
31.2,0.26864,0.14621
31.233,0.26483,0.15003
31.267,0.2661,0.1564
31.3,0.25719,0.12202
31.333,0.25846,0.15258
31.367,0.25846,0.15003
31.4,0.24955,0.14621
31.433,0.25846,0.1564
31.467,0.24827,0.16149
31.5,0.2661,0.1513
31.533,0.2661,0.16149
31.567,0.27501,0.1513
31.6,0.27374,0.15003
31.633,0.26355,0.14748
31.667,0.25209,0.14748
31.7,0.24063,0.15258
31.733,0.24191,0.13475
31.767,0.23045,0.15003
31.8,0.25719,0.14621
31.833,0.25464,0.14112
31.867,0.27246,0.14621
31.9,0.25973,0.15512
31.933,0.26228,0.14876
31.967,0.26355,0.14748
32,0.25973,0.14621
32.033,0.25973,0.14621
32.067,0.26101,0.15258
32.1,0.26864,0.14112
32.133,0.25464,0.14621
32.167,0.27501,0.14112
32.2,0.26864,0.14494
32.233,0.27756,0.13984
32.267,0.27246,0.15258
32.3,0.27374,0.14876
32.333,0.26737,0.1373
32.367,0.27246,0.14748
32.4,0.27246,0.14366
32.433,0.25846,0.14112
