Time (s),Upstream (V),Downstream (V)
52.7,0.59585,0.1564
52.733,0.58185,0.14876
52.767,0.54874,0.14621
52.8,0.5411,0.15258
52.833,0.50418,0.15894
52.867,0.50036,0.15258
52.9,0.49909,0.1564
52.933,0.47235,0.15385
52.967,0.46599,0.15512
53,0.43288,0.15894
53.033,0.42779,0.13857
53.067,0.41888,0.15385
53.1,0.4036,0.15512
53.133,0.41379,0.15258
53.167,0.40997,0.1513
53.2,0.39851,0.16149
53.233,0.39596,0.15258
53.267,0.3896,0.1564
53.3,0.37177,0.16149
53.333,0.36923,0.15894
53.367,0.36159,0.14621
53.4,0.35649,0.15512
53.433,0.35013,0.15258
53.467,0.33867,0.14239
53.5,0.34249,0.14876
53.533,0.32848,0.14621
53.567,0.3374,0.13984
53.6,0.32976,0.15258
53.633,0.32721,0.14876
53.667,0.32976,0.15512
53.7,0.32848,0.1564
53.733,0.32976,0.15003
53.767,0.31957,0.14876
53.8,0.32466,0.15512
53.833,0.32721,0.14239
53.867,0.32212,0.1373
53.9,0.30684,0.14621
53.933,0.30429,0.1513
53.967,0.2992,0.14494
54,0.29665,0.14239
54.033,0.30175,0.13348
54.067,0.29029,0.12966
54.1,0.29156,0.14112
54.133,0.28392,0.14239
54.167,0.29538,0.13475
54.2,0.29156,0.13602
54.233,0.29283,0.1373
54.267,0.28138,0.13348
54.3,0.28392,0.14112
54.333,0.28392,0.16149
54.367,0.27628,0.1564
54.4,0.28138,0.15385
54.433,0.28265,0.1513
54.467,0.27756,0.15003
54.5,0.27756,0.13602
54.533,0.29029,0.14748
54.567,0.28265,0.15512
54.6,0.28138,0.15003
54.633,0.28138,0.15767
54.667,0.27628,0.14239
54.7,0.30175,0.14366
54.733,0.30429,0.14621
54.767,0.28647,0.14366
54.8,0.2801,0.1373
54.833,0.29665,0.14494
54.867,0.28774,0.14112
54.9,0.29538,0.14621
54.933,0.29283,0.14748
54.967,0.29538,0.14494
55,0.28647,0.15258
55.033,0.28647,0.14494
55.067,0.29411,0.15003
55.1,0.29411,0.15767
55.133,0.2852,0.14621
55.167,0.27756,0.14748
55.2,0.27883,0.14366
55.233,0.27374,0.14494
55.267,0.26483,0.14366
55.3,0.26355,0.14621
55.333,0.25973,0.16022
55.367,0.2661,0.14239
55.4,0.26864,0.14366
55.433,0.28392,0.15258
55.467,0.27501,0.1513
55.5,0.2852,0.14621
55.533,0.28265,0.12966
55.567,0.28392,0.14366
55.6,0.28392,0.15767
55.633,0.27628,0.15894
55.667,0.27119,0.14876
55.7,0.27756,0.1564
55.733,0.2801,0.15767
55.767,0.27628,0.15385
55.8,0.27756,0.1564
55.833,0.27374,0.15003
55.867,0.27883,0.14621
55.9,0.27628,0.14112
55.933,0.29665,0.14112
55.967,0.28265,0.14494
56,0.27883,0.15003
56.033,0.27501,0.15258
56.067,0.27374,0.1513
56.1,0.27119,0.14621
56.133,0.26355,0.14621
56.167,0.26737,0.14876
56.2,0.26483,0.1513
56.233,0.27119,0.14748
56.267,0.26101,0.14876
56.3,0.26483,0.14748
56.333,0.25337,0.15385
56.367,0.25719,0.1564
56.4,0.25846,0.14876
56.433,0.25846,0.16022
56.467,0.25464,0.15385
56.5,0.26228,0.16149
56.533,0.28392,0.16149
56.567,0.28392,0.1322
56.6,0.27374,0.15258
56.633,0.2661,0.14876
56.667,0.27374,0.14494
56.7,0.26737,0.13857
56.733,0.26737,0.1513
56.767,0.26228,0.15385
56.8,0.26483,0.14748
56.833,0.26864,0.1564
56.867,0.26864,0.1513
56.9,0.27374,0.14876
56.933,0.26355,0.1513
56.967,0.27246,0.14748
57,0.27246,0.14748
57.033,0.27374,0.1513
57.067,0.26101,0.14494
57.1,0.2661,0.15003
57.133,0.26483,0.14621
57.167,0.26737,0.14239
57.2,0.26355,0.14876
57.233,0.25973,0.1513
57.267,0.27628,0.15258
57.3,0.26864,0.1513
57.333,0.28392,0.14621
57.367,0.26737,0.1564
57.4,0.28647,0.14876
57.433,0.27628,0.15385
57.467,0.2801,0.1564
57.5,0.27501,0.14876
57.533,0.27628,0.15512
57.567,0.2801,0.14748
57.6,0.27628,0.11692
57.633,0.27119,0.14239
57.667,0.2661,0.14494
57.7,0.26992,0.14112
57.733,0.25973,0.1564
57.767,0.26864,0.14876
57.8,0.25464,0.15258
57.833,0.27119,0.14748
57.867,0.25973,0.15512
57.9,0.27374,0.14621
57.933,0.27374,0.14494
57.967,0.27119,0.14112
58,0.26737,0.13984
58.033,0.26992,0.1373
58.067,0.2801,0.13348
58.1,0.26864,0.13348
58.133,0.2801,0.14112
58.167,0.27246,0.14494
58.2,0.27119,0.14112
58.233,0.27119,0.15003
58.267,0.25973,0.14621
58.3,0.26101,0.14366
58.333,0.26228,0.14876
58.367,0.26864,0.15258
58.4,0.25719,0.1513
58.433,0.27246,0.1513
58.467,0.27246,0.14621
58.5,0.26992,0.15003
58.533,0.26737,0.15003
58.567,0.27374,0.1513
58.6,0.26355,0.15894
58.633,0.25591,0.14112
58.667,0.26101,0.16531
58.7,0.25846,0.15512
58.733,0.25719,0.15767
58.767,0.25973,0.16404
58.8,0.26101,0.16276
58.833,0.26101,0.1564
58.867,0.27246,0.17422
58.9,0.2661,0.17422
58.933,0.26228,0.17677
58.967,0.25846,0.19205
59,0.27756,0.18186
59.033,0.28138,0.19842
59.067,0.27756,0.1946
59.1,0.27628,0.18696
59.133,0.27246,0.21879
59.167,0.28902,0.21625
59.2,0.27883,0.21497
59.233,0.27246,0.27609
59.267,0.27246,0.26591
59.3,0.28647,0.26591
59.333,0.27756,0.30538
59.367,0.27883,0.30665
59.4,0.26737,0.33467
59.433,0.2661,0.38815
59.467,0.27628,0.38433
59.5,0.27374,0.43272
59.533,0.26737,0.47219
59.567,0.2661,0.46837
59.6,0.28138,0.55114
59.633,0.27628,0.56642
59.667,0.26992,0.55114
59.7,0.26864,0.6632
59.733,0.26355,0.65938
59.767,0.26228,0.67975
59.8,0.25591,0.80327
59.833,0.26101,0.80199
59.867,0.26101,0.87458
59.9,0.26992,0.94206
59.933,0.2661,0.93442
59.967,0.27628,1.0185
60,0.26228,1.0809
60.033,0.25337,1.0528
60.067,0.26864,1.1942
60.1,0.26483,1.1904
60.133,0.2661,1.1929
60.167,0.26355,1.3075
60.2,0.27628,1.3062
60.233,0.27119,1.3394
60.267,0.27628,1.4068
60.3,0.26864,1.4145
60.333,0.27246,1.4603
60.367,0.26864,1.5164
60.4,0.27756,1.5164
60.433,0.27374,1.5953
60.467,0.27246,1.6017
60.5,0.26483,1.6042
60.533,0.26355,1.6373
60.567,0.26228,1.6386
60.6,0.26228,1.6335
60.633,0.26355,1.673
60.667,0.25973,1.673
60.7,0.27246,1.6539
60.733,0.27246,1.6743
60.767,0.27883,1.673
60.8,0.28138,1.6666
60.833,0.27883,1.6679
60.867,0.27374,1.6743
60.9,0.26228,1.6539
60.933,0.27374,1.6666
60.967,0.27883,1.6615
61,0.27119,1.6093
61.033,0.26864,1.6029
61.067,0.2801,1.6029
61.1,0.28647,1.5711
61.133,0.2801,1.5647
61.167,0.27374,1.5533
61.2,0.26355,1.5087
61.233,0.27246,1.4896
61.267,0.26864,1.4591
61.3,0.26864,1.4361
61.333,0.2661,1.4298
61.367,0.27246,1.3521
61.4,0.26483,1.347
61.433,0.26737,1.3394
61.467,0.28138,1.268
61.5,0.26864,1.268
61.533,0.26864,1.2515
61.567,0.25464,1.1955
61.6,0.25973,1.1904
61.633,0.25591,1.1483
61.667,0.2661,1.1038
61.7,0.26737,1.1038
61.733,0.26101,1.0197
61.767,0.25337,1.0019
61.8,0.25973,0.99682
61.833,0.25591,0.91023
61.867,0.25209,0.91532
61.9,0.26737,0.89877
61.933,0.25846,0.83765
61.967,0.26992,0.84274
62,0.26992,0.83128
62.033,0.26483,0.77143
62.067,0.26864,0.77653
62.1,0.26101,0.74597
62.133,0.26228,0.71286
62.167,0.26101,0.71159
62.2,0.26355,0.67084
62.233,0.25082,0.65046
62.267,0.25973,0.64919
62.3,0.26101,0.59953
62.333,0.26355,0.59698
62.367,0.25719,0.60462
62.4,0.26992,0.56005
62.433,0.25973,0.55369
62.467,0.26483,0.53204
62.5,0.27756,0.50403
62.533,0.26355,0.49893
62.567,0.26864,0.48238
62.6,0.25973,0.46837
62.633,0.25209,0.46583
62.667,0.25591,0.43526
62.7,0.25464,0.43781
62.733,0.26355,0.43272
62.767,0.25846,0.3907
62.8,0.25591,0.39452
62.833,0.24955,0.36778
62.867,0.26864,0.35632
62.9,0.2661,0.35759
62.933,0.27246,0.35504
62.967,0.26864,0.35122
63,0.27628,0.35377
63.033,0.26864,0.33085
63.067,0.2661,0.32703
63.1,0.2661,0.32703
63.133,0.26228,0.3092
63.167,0.26992,0.30538
63.2,0.26483,0.30793
63.233,0.26483,0.28755
63.267,0.26355,0.2901
63.3,0.2661,0.29647
63.333,0.25719,0.27227
63.367,0.26101,0.271
63.4,0.26737,0.25954
63.433,0.26228,0.24808
63.467,0.25973,0.24808
63.5,0.26101,0.23662
63.533,0.25337,0.23917
63.567,0.25719,0.24044
63.6,0.25591,0.23917
63.633,0.25082,0.2328
63.667,0.26355,0.23153
63.7,0.26228,0.23025
63.733,0.25973,0.23153
63.767,0.25719,0.22389
63.8,0.25082,0.22134
63.833,0.25209,0.21497
63.867,0.24827,0.21243
63.9,0.24955,0.22261
63.933,0.24318,0.21879
63.967,0.26864,0.19842
64,0.26228,0.21115
64.033,0.26737,0.20733
64.067,0.27246,0.20606
64.1,0.2661,0.20479
64.133,0.26737,0.20733
64.167,0.25337,0.19587
64.2,0.26228,0.19969
64.233,0.26228,0.18441
64.267,0.26355,0.19715
64.3,0.2661,0.18823
64.333,0.26228,0.19078
64.367,0.25209,0.19842
64.4,0.25209,0.20224
64.433,0.25719,0.19332
64.467,0.24445,0.19332
64.5,0.25846,0.19078
64.533,0.25337,0.19078
64.567,0.27374,0.1755
64.6,0.26737,0.18696
64.633,0.27756,0.18696
64.667,0.27119,0.18186
64.7,0.27246,0.17677
64.733,0.25846,0.18568
64.767,0.25719,0.1755
64.8,0.27246,0.17804
64.833,0.27246,0.18059
64.867,0.26992,0.17677
64.9,0.26228,0.19078
64.933,0.27883,0.18696
64.967,0.27119,0.17932
65,0.27628,0.16913
65.033,0.2801,0.1755
65.067,0.27374,0.17295
65.1,0.27756,0.1895
65.133,0.27119,0.18441
65.167,0.26864,0.17804
65.2,0.26355,0.18314
65.233,0.25719,0.18441
65.267,0.25209,0.1755
65.3,0.25846,0.1704
65.333,0.25209,0.17677
65.367,0.24827,0.17168
65.4,0.25209,0.17168
65.433,0.26228,0.1704
65.467,0.26737,0.16149
65.5,0.26228,0.16658
65.533,0.2661,0.17677
65.567,0.25846,0.16786
65.6,0.25973,0.14621
65.633,0.25973,0.16658
65.667,0.27628,0.16149
65.7,0.27374,0.16786
65.733,0.27756,0.16149
65.767,0.27119,0.15767
65.8,0.27374,0.15385
65.833,0.27883,0.17168
65.867,0.27374,0.16404
65.9,0.27374,0.16786
65.933,0.27374,0.17804
65.967,0.25591,0.16658
66,0.24827,0.16786
66.033,0.2661,0.15512
66.067,0.26483,0.16149
66.1,0.27374,0.17422
66.133,0.27628,0.16913
66.167,0.26864,0.16404
66.2,0.27756,0.16149
66.233,0.26355,0.16404
66.267,0.27628,0.15894
66.3,0.27501,0.16786
66.333,0.27501,0.16658
66.367,0.26737,0.15385
66.4,0.26864,0.15512
66.433,0.25973,0.15894
66.467,0.24955,0.15767
66.5,0.26483,0.16531
66.533,0.25719,0.17168
66.567,0.26101,0.16404
66.6,0.25719,0.16531
66.633,0.27246,0.16149
66.667,0.26355,0.15767
66.7,0.25846,0.15385
66.733,0.25719,0.16022
66.767,0.26228,0.1513
66.8,0.26483,0.15385
66.833,0.26101,0.14748
66.867,0.27246,0.15767
66.9,0.27501,0.14621
66.933,0.27374,0.16404
66.967,0.26737,0.15512
67,0.26101,0.15003
67.033,0.25591,0.16531
67.067,0.25846,0.13857
67.1,0.24955,0.1564
67.133,0.25973,0.15385
67.167,0.2661,0.14876
67.2,0.26483,0.14494
67.233,0.24827,0.16531
67.267,0.24827,0.16022
67.3,0.25464,0.15385
67.333,0.25591,0.16022
67.367,0.25846,0.15767
67.4,0.25337,0.1564
67.433,0.26355,0.15894
67.467,0.25082,0.15767
67.5,0.25719,0.15003
67.533,0.25719,0.16022
67.567,0.25591,0.15512
67.6,0.25719,0.15385
67.633,0.25337,0.16276
67.667,0.27756,0.1564
67.7,0.27883,0.15003
67.733,0.27628,0.15512
67.767,0.27119,0.14366
67.8,0.27756,0.15512
67.833,0.27628,0.15512
67.867,0.27119,0.16276
67.9,0.27756,0.16276
67.933,0.27628,0.1564
67.967,0.28265,0.15385
68,0.26992,0.15385
68.033,0.27374,0.15385
68.067,0.26737,0.16531
68.1,0.28392,0.14494
68.133,0.28392,0.16149
68.167,0.27628,0.15894
68.2,0.26737,0.1564
68.233,0.27119,0.1513
68.267,0.2801,0.16276
68.3,0.26864,0.15003
68.333,0.27246,0.15258
68.367,0.26864,0.15767
68.4,0.27883,0.15767
68.433,0.27119,0.1513
68.467,0.25846,0.15258
68.5,0.26228,0.1513
68.533,0.25591,0.15767
68.567,0.25846,0.16149
68.6,0.25846,0.15003
68.633,0.26228,0.15512
68.667,0.25591,0.16022
68.7,0.26864,0.15003
68.733,0.26992,0.15258
68.767,0.27501,0.1564
68.8,0.26992,0.14621
68.833,0.26228,0.15003
68.867,0.27246,0.14621
68.9,0.26101,0.15258
68.933,0.26864,0.15258
68.967,0.25846,0.15003
69,0.2661,0.14748
69.033,0.26101,0.15003
69.067,0.27374,0.14876
69.1,0.26228,0.15003
69.133,0.26101,0.13984
69.167,0.2661,0.15258
69.2,0.26228,0.1513
69.233,0.26101,0.1513
69.267,0.25719,0.1564
69.3,0.25464,0.15767
69.333,0.25209,0.15512
69.367,0.25464,0.16276
69.4,0.24573,0.1513
69.433,0.25846,0.1513
69.467,0.25337,0.15385
69.5,0.25082,0.14494
69.533,0.25973,0.14494
69.567,0.247,0.15003
69.6,0.25337,0.1513
69.633,0.25082,0.14748
69.667,0.2661,0.15512
69.7,0.25591,0.1513
69.733,0.2661,0.14748
69.767,0.26101,0.15512
69.8,0.26864,0.14876
69.833,0.25337,0.1513
69.867,0.25591,0.1513
69.9,0.26101,0.13602
69.933,0.26101,0.16276
69.967,0.26101,0.14748
70,0.25209,0.14239
70.033,0.26355,0.1513
70.067,0.25337,0.15258
70.1,0.25464,0.14366
70.133,0.24955,0.14112
70.167,0.25846,0.13348
70.2,0.26483,0.14621
70.233,0.26228,0.15385
70.267,0.27756,0.15385
70.3,0.2661,0.15003
70.333,0.28138,0.14621
70.367,0.27246,0.15003
70.4,0.29283,0.15512
70.433,0.28647,0.14876
70.467,0.2852,0.1564
70.5,0.28138,0.15003
70.533,0.27119,0.14748
70.567,0.26864,0.1513
70.6,0.26101,0.14748
70.633,0.25973,0.14748
70.667,0.25846,0.16149
70.7,0.26737,0.15512
70.733,0.26355,0.15385
70.767,0.2661,0.14366
70.8,0.25591,0.16149
70.833,0.2661,0.16149
70.867,0.26483,0.16276
70.9,0.26355,0.16022
70.933,0.26992,0.14621
70.967,0.2661,0.1564
71,0.27883,0.15767
71.033,0.27374,0.15003
71.067,0.2801,0.15258
71.1,0.27119,0.14748
71.133,0.28392,0.1564
71.167,0.28138,0.14621
71.2,0.28392,0.1373
71.233,0.29029,0.15894
71.267,0.29538,0.15894
71.3,0.28902,0.14748
71.333,0.28138,0.14876
71.367,0.27374,0.15258
71.4,0.27501,0.15512
71.433,0.27374,0.16022
71.467,0.26355,0.16022
71.5,0.27246,0.15512
71.533,0.27883,0.15385
71.567,0.27374,0.15385
71.6,0.26483,0.14748
71.633,0.25846,0.1513
71.667,0.27628,0.14494
71.7,0.26992,0.14112
71.733,0.26228,0.14112
71.767,0.26355,0.14366
71.8,0.2661,0.12456
71.833,0.25591,0.14876
71.867,0.25591,0.1513
71.9,0.26101,0.14239
71.933,0.25464,0.14112
71.967,0.26483,0.14748
72,0.26355,0.14621
72.033,0.27501,0.14748
72.067,0.27501,0.15258
72.1,0.27501,0.1513
72.133,0.26737,0.14621
72.167,0.28138,0.15385
72.2,0.27883,0.15003
72.233,0.27374,0.13857
72.267,0.26737,0.15258
72.3,0.27119,0.15003
72.333,0.27246,0.14748
72.367,0.26864,0.1513
72.4,0.26864,0.1513
72.433,0.26737,0.14494
72.467,0.28647,0.15385
72.5,0.28774,0.1513
72.533,0.27628,0.14876
72.567,0.27756,0.14621
72.6,0.27246,0.15258
72.633,0.27246,0.14494
72.667,0.26864,0.15003
72.7,0.27501,0.14621
72.733,0.26992,0.14366
72.767,0.27374,0.15003
72.8,0.27119,0.14366
72.833,0.27501,0.12966
72.867,0.26864,0.14748
72.9,0.26355,0.14494
72.933,0.26101,0.13093
72.967,0.25846,0.14366
73,0.25464,0.15258
73.033,0.24955,0.14748
73.067,0.2661,0.13602
73.1,0.26101,0.15385
73.133,0.25719,0.15258
73.167,0.25209,0.15003
73.2,0.26355,0.15512
73.233,0.26737,0.14494
73.267,0.26101,0.14112
73.3,0.26228,0.14621
73.333,0.25973,0.14621
73.367,0.27119,0.14621
73.4,0.25973,0.14748
73.433,0.26355,0.1373
73.467,0.26228,0.14876
73.5,0.2661,0.14748
73.533,0.26228,0.13475
73.567,0.26355,0.15512
73.6,0.26737,0.14494
73.633,0.26355,0.16531
73.667,0.26992,0.15258
73.7,0.28138,0.13984
73.733,0.27246,0.14366
73.767,0.25082,0.1513
73.8,0.28265,0.15385
73.833,0.27374,0.15258
73.867,0.2852,0.14366
73.9,0.27374,0.14876
73.933,0.27119,0.15512
73.967,0.26483,0.15767
74,0.2661,0.16022
74.033,0.25719,0.15258
74.067,0.25719,0.15003
74.1,0.25719,0.15003
74.133,0.24955,0.14621
74.167,0.26992,0.15258
74.2,0.26737,0.15385
74.233,0.25464,0.14748
74.267,0.25337,0.15003
74.3,0.25209,0.14876
74.333,0.24827,0.14366
74.367,0.24318,0.15003
74.4,0.24573,0.15385
74.433,0.23682,0.15003
74.467,0.26864,0.14366
74.5,0.26483,0.14112
74.533,0.27501,0.14112
74.567,0.26864,0.14876
74.6,0.2661,0.16149
74.633,0.26101,0.1564
74.667,0.27756,0.15385
74.7,0.27628,0.1513
74.733,0.27628,0.14748
74.767,0.27756,0.1513
74.8,0.27628,0.15003
74.833,0.27628,0.14366
74.867,0.26864,0.14494
74.9,0.27756,0.14112
74.933,0.26483,0.14748
74.967,0.28392,0.14494
75,0.28392,0.14494
75.033,0.27246,0.14621
75.067,0.27119,0.14239
75.1,0.25719,0.14494
75.133,0.27374,0.15258
75.167,0.26737,0.14621
75.2,0.27119,0.13857
75.233,0.26101,0.1564
75.267,0.26355,0.15258
75.3,0.2661,0.15258
75.333,0.25846,0.15258
75.367,0.25719,0.14748
75.4,0.26101,0.1564
75.433,0.26228,0.14621
75.467,0.25337,0.14621
75.5,0.25973,0.17168
75.533,0.25209,0.15258
75.567,0.27374,0.14621
75.6,0.27246,0.1564
75.633,0.2801,0.15512
75.667,0.2661,0.14748
75.7,0.27374,0.15385
75.733,0.27246,0.1513
75.767,0.26228,0.14366
75.8,0.26228,0.15385
75.833,0.25973,0.1513
75.867,0.25591,0.1513
75.9,0.25719,0.16276
75.933,0.27374,0.15003
75.967,0.2661,0.15385
76,0.27374,0.16276
76.033,0.26737,0.15512
76.067,0.27883,0.15258
76.1,0.27246,0.15258
76.133,0.26737,0.15003
76.167,0.26864,0.13984
76.2,0.26737,0.14621
76.233,0.26737,0.13857
76.267,0.26483,0.1373
76.3,0.27246,0.14112
76.333,0.26483,0.14621
76.367,0.26228,0.14748
76.4,0.26864,0.14876
76.433,0.26483,0.14876
76.467,0.25973,0.14748
76.5,0.26101,0.14748
76.533,0.26483,0.11183
76.567,0.25209,0.14112
76.6,0.26228,0.14366
76.633,0.26355,0.15003
76.667,0.247,0.14621
76.7,0.24955,0.14366
76.733,0.26483,0.14876
76.767,0.26101,0.14494
76.8,0.27246,0.14621
76.833,0.26992,0.14621
76.867,0.25591,0.1373
76.9,0.26355,0.13984
76.933,0.26101,0.15512
76.967,0.25337,0.13475
77,0.24445,0.13984
77.033,0.26101,0.14366
77.067,0.25464,0.13475
77.1,0.26992,0.15512
77.133,0.27119,0.15512
77.167,0.27756,0.13857
77.2,0.27374,0.14239
77.233,0.26864,0.14112
77.267,0.27119,0.1322
77.3,0.26737,0.13984
77.333,0.2801,0.13093
77.367,0.27119,0.14494
77.4,0.27628,0.14621
77.433,0.26228,0.14876
77.467,0.27628,0.1513
77.5,0.27374,0.15385
77.533,0.28138,0.15385
77.567,0.27119,0.12711
77.6,0.27756,0.14494
77.633,0.28138,0.14621
77.667,0.27374,0.14494
77.7,0.2801,0.1564
77.733,0.27628,0.15003
77.767,0.27246,0.14621
77.8,0.26864,0.15003
77.833,0.27119,0.16022
77.867,0.27374,0.15258
77.9,0.27374,0.15894
77.933,0.28138,0.16022
77.967,0.2661,0.15894
78,0.26864,0.14876
78.033,0.26864,0.14876
78.067,0.27374,0.14876
78.1,0.2661,0.14876
78.133,0.27374,0.16022
78.167,0.27119,0.14876
78.2,0.27628,0.14621
78.233,0.26355,0.15512
78.267,0.26355,0.14494
78.3,0.26228,0.14494
78.333,0.26355,0.14494
78.367,0.27883,0.14876
78.4,0.27628,0.15512
78.433,0.27374,0.15258
78.467,0.26864,0.14621
78.5,0.27119,0.15258
78.533,0.26992,0.1513
78.567,0.25719,0.15003
78.6,0.25082,0.13602
78.633,0.26864,0.14494
78.667,0.26228,0.15258
78.7,0.25846,0.14621
78.733,0.26737,0.15003
78.767,0.25973,0.1513
78.8,0.28138,0.15003
78.833,0.2661,0.15385
78.867,0.26228,0.14621
78.9,0.25973,0.14876
78.933,0.25337,0.1513
78.967,0.24827,0.13602
79,0.24063,0.14239
79.033,0.25082,0.14366
79.067,0.24827,0.14239
79.1,0.25337,0.14621
79.133,0.24827,0.1513
79.167,0.25464,0.15003
79.2,0.25591,0.12456
79.233,0.27246,0.14621
79.267,0.26483,0.14876
79.3,0.2661,0.14876
79.333,0.26864,0.1513
79.367,0.27501,0.14876
79.4,0.2801,0.14494
79.433,0.27501,0.15894
79.467,0.28392,0.15385
79.5,0.27246,0.15512
79.533,0.27374,0.1564
79.567,0.27628,0.14876
79.6,0.27883,0.16149
79.633,0.27501,0.15512
79.667,0.27246,0.16022
79.7,0.26864,0.1513
79.733,0.26737,0.16022
79.767,0.27374,0.14621
79.8,0.26228,0.14876
79.833,0.26992,0.1564
79.867,0.2661,0.1564
79.9,0.26864,0.14239
79.933,0.26355,0.15258
79.967,0.28647,0.1513
80,0.27374,0.14748
80.033,0.2852,0.1513
80.067,0.2852,0.1513
80.1,0.26864,0.14112
80.133,0.2801,0.13602
80.167,0.27628,0.14876
80.2,0.27374,0.13857
80.233,0.26864,0.13984
80.267,0.27119,0.15258
80.3,0.25719,0.15003
80.333,0.26992,0.14239
80.367,0.25719,0.14621
80.4,0.25337,0.13602
80.433,0.25337,0.14112
80.467,0.25209,0.14621
80.5,0.25719,0.13857
80.533,0.25591,0.14494
80.567,0.2661,0.15003
80.6,0.25846,0.13984
80.633,0.2661,0.14621
80.667,0.25973,0.14621
80.7,0.26355,0.14876
80.733,0.25846,0.14366
80.767,0.26737,0.14366
80.8,0.26355,0.13093
80.833,0.25591,0.14112
80.867,0.25973,0.13475
80.9,0.25591,0.14239
80.933,0.25846,0.14748
80.967,0.25591,0.15512
81,0.2661,0.14621
81.033,0.25973,0.14876
81.067,0.28392,0.1513
81.1,0.2801,0.15385
81.133,0.26992,0.15512
81.167,0.26483,0.16658
81.2,0.26737,0.15385
81.233,0.27246,0.15003
81.267,0.26864,0.14748
81.3,0.26483,0.15385
81.333,0.2661,0.15385
81.367,0.26737,0.14494
81.4,0.25209,0.14748
81.433,0.26483,0.14748
81.467,0.26228,0.14748
81.5,0.26483,0.14112
81.533,0.27501,0.1373
81.567,0.27119,0.14366
81.6,0.28265,0.13984
81.633,0.2801,0.14621
81.667,0.26737,0.1513
81.7,0.25464,0.13984
81.733,0.26737,0.13984
81.767,0.25591,0.14494
81.8,0.27756,0.14366
81.833,0.27501,0.14494
81.867,0.27756,0.1182
81.9,0.2661,0.13475
81.933,0.26101,0.14621
81.967,0.27883,0.14621
82,0.27246,0.1513
82.033,0.27883,0.1564
82.067,0.26992,0.15767
82.1,0.28392,0.14621
82.133,0.27756,0.1513
82.167,0.27501,0.1564
82.2,0.27501,0.15003
82.233,0.27374,0.1513
82.267,0.27756,0.15003
82.3,0.26355,0.15894
82.333,0.26737,0.15767
82.367,0.25846,0.15512
82.4,0.26355,0.15385
82.433,0.25846,0.1564
82.467,0.27246,0.16658
82.5,0.28647,0.15003
82.533,0.27756,0.1513
82.567,0.26864,0.14494
82.6,0.26228,0.14876
82.633,0.27501,0.14366
82.667,0.27119,0.14748
82.7,0.27628,0.14112
82.733,0.26864,0.13348
82.767,0.26737,0.14621
82.8,0.26101,0.14748
82.833,0.25846,0.15003
82.867,0.25464,0.14239
82.9,0.26228,0.12584
82.933,0.25973,0.15003
82.967,0.26483,0.15003
83,0.27246,0.1513
83.033,0.26355,0.14748
83.067,0.26992,0.15385
83.1,0.27501,0.14876
83.133,0.26737,0.15512
83.167,0.26355,0.15894
83.2,0.25719,0.14748
83.233,0.25209,0.14876
83.267,0.26355,0.1564
83.3,0.2661,0.1513
83.333,0.25591,0.1564
83.367,0.28138,0.16404
83.4,0.27628,0.14876
83.433,0.28265,0.14876
83.467,0.27883,0.15258
83.5,0.30175,0.15003
83.533,0.29411,0.13984
83.567,0.29283,0.13984
83.6,0.28138,0.14748
83.633,0.2852,0.14366
83.667,0.27883,0.13602
83.7,0.27119,0.14876
83.733,0.26864,0.14366
83.767,0.26864,0.14621
83.8,0.27119,0.15258
83.833,0.26992,0.14494
83.867,0.27883,0.1564
83.9,0.27628,0.15767
83.933,0.27119,0.13857
83.967,0.27119,0.15512
84,0.26228,0.16149
84.033,0.25209,0.1513
84.067,0.25591,0.1564
84.1,0.25209,0.1513
84.133,0.25337,0.1373
84.167,0.25846,0.14876
84.2,0.26101,0.13602
84.233,0.25973,0.13857
84.267,0.25337,0.14621
84.3,0.27756,0.14621
84.333,0.27374,0.14621
84.367,0.26737,0.14621
84.4,0.25973,0.14494
84.433,0.25719,0.15894
84.467,0.26992,0.1564
84.5,0.2661,0.16022
84.533,0.26483,0.13093
84.567,0.26355,0.15767
84.6,0.27119,0.15003
84.633,0.25846,0.15258
84.667,0.27883,0.14748
84.7,0.27501,0.14621
84.733,0.27119,0.14239
84.767,0.26737,0.14366
84.8,0.27246,0.14239
84.833,0.26483,0.14494
84.867,0.26483,0.14494
84.9,0.26737,0.15512
84.933,0.25464,0.15258
84.967,0.2661,0.14366
85,0.25846,0.15512
85.033,0.26228,0.16022
85.067,0.24955,0.1564
85.1,0.26737,0.15894
85.133,0.26101,0.14748
85.167,0.27883,0.15894
85.2,0.27501,0.15767
85.233,0.26228,0.1513
85.267,0.26101,0.15385
85.3,0.25719,0.15003
85.333,0.26864,0.14621
85.367,0.26737,0.14876
85.4,0.24827,0.14876
85.433,0.24827,0.13475
85.467,0.25719,0.15385
85.5,0.25337,0.15512
85.533,0.26228,0.15003
85.567,0.25209,0.14748
85.6,0.26228,0.16022
85.633,0.26101,0.15385
85.667,0.26737,0.14748
85.7,0.26864,0.1513
85.733,0.25973,0.1513
85.767,0.26864,0.15767
85.8,0.26355,0.15258
85.833,0.26864,0.1513
85.867,0.26864,0.14494
85.9,0.2801,0.14876
85.933,0.2801,0.15003
85.967,0.27756,0.14621
86,0.27883,0.14621
86.033,0.27374,0.14621
86.067,0.27628,0.14366
86.1,0.26737,0.1513
86.133,0.2852,0.15512
